trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20060724,1191.875,1279.21,0.038362171830148756,,0.04105426059235184
20060725,1208.444,1297.258,0.0380404301411593,,0.041266888451232164
20060726,1209.519,1298.413,0.03784157224204643,,0.04101534928492834
20060727,1197.064,1285.042,0.037652052899656126,,0.040128004539538464
20060728,1188.21,1275.537,0.0372807707776168,,0.03913262635896153
20060731,1145.257,1229.427,0.03828231085866049,,0.03854915353621924
20060801,1138.162,1221.826,0.0385335920003116,,0.038562280143748406
20060802,1134.841,1218.261,0.03832287528733365,,0.03809845129615441
20060803,1136.599,1220.148,0.03826340719845438,,0.0380981775586795
20060804,1111.831,1193.559,0.03875722510673296,,0.03760018751536287
20060807,1094.569,1175.17,0.039489028448229345,,0.037725247964215614
20060808,1119.201,1201.616,0.03862007203072165,,0.03772539340260117
20060809,1116.808,1199.047,0.03858994122720873,,0.037574030243846535
20060810,1138.075,1222.156,0.03788290329364504,,0.037518478502087005
20060811,1140.166,1224.4,0.03781342819020659,,0.037518478502087005
20060814,1113.467,1195.729,0.0387198345634011,,0.037517976488980365
20060815,1131.991,1215.623,0.03808742292487397,,0.03751922475799496
20060816,1144.743,1229.316,0.03766314357384235,,0.03751922475799496
20060817,1135.083,1218.942,0.03798296345939008,,0.03751829382794303
20060818,1131.805,1215.421,0.038092971945145035,,0.03751829382794303
20060821,1129.446,1212.888,0.03817258276198294,,0.03751829850049493
20060822,1138.118,1222.201,0.03783408383625831,,0.037456639015444715
20060823,1138.592,1222.709,0.03781833336924432,,0.037456639015444715
20060824,1144.738,1229.31,0.03761605893057618,,0.03745743676249824
20060825,1152.079,1237.193,0.0363076574818268,,0.03608519463105342
20060828,1173.062,1259.725,0.03565772876610457,,0.03608456226508161
20060829,1174.204,1260.952,0.035623550033792056,,0.03608508138390465
20060830,1175.716,1262.575,0.03557773726297742,,0.03608508138390465
20060831,1179.853,1267.018,0.0352812601581799,,0.03585502078057168
20060901,1169.278,1255.662,0.035539282768076295,,0.03577437263788852
