code,grade,first,entry_date,last_date,entry_raw,last_raw,ret_raw,ret_qfq,adj_ratio,affected
300846.SZ,C,20260705,20260706,20260724,19.88,18.11,-0.08903420523138827,-0.08903420523138839,1.0,False
301165.SZ,B,20260705,20260706,20260724,102.0,132.0,0.2941176470588236,0.2941176470588234,1.0,False
301308.SZ,C,20260705,20260706,20260724,681.8,370.01,-0.45730419477852735,-0.45730419477852746,1.0,False
600206.SH,C,20260705,20260706,20260724,50.89,44.0,-0.13539005698565532,-0.13539005698565532,1.0,False
600410.SH,C,20260705,20260706,20260724,15.0,12.86,-0.14266666666666672,-0.1420648821447913,1.0007019259586416,False
603019.SH,C,20260705,20260706,20260724,94.56,97.5,0.03109137055837552,0.03109137055837552,1.0,False
603078.SH,C,20260705,20260706,20260724,57.7,32.24,-0.44124783362218367,-0.4412478336221838,1.0,False
603931.SH,C,20260705,20260706,20260724,59.74,32.93,-0.4487780381653833,-0.4487780381653833,1.0,False
688019.SH,C,20260705,20260706,20260724,289.35,256.49,-0.11356488681527566,-0.11356488681527566,1.0,False
688072.SH,B,20260705,20260710,20260724,832.0,791.0,-0.049278846153846145,-0.049278846153846145,1.0,False
688120.SH,B,20260705,20260706,20260724,269.0,263.9,-0.018959107806691522,-0.018959107806691633,1.0,False
688548.SH,B,20260705,20260706,20260724,45.07,38.45,-0.1468826270246283,-0.14688262702462818,1.0,False
688702.SH,C,20260705,20260706,20260724,357.0,390.78,0.09462184873949564,0.09462184873949564,1.0,False
300491.SZ,C,20260706,20260707,20260724,31.93,23.86,-0.25274036955840906,-0.25274036955840906,1.0,False
600188.SH,C,20260706,20260707,20260724,18.19,19.73,0.08466190214403513,0.10055779001653198,1.0146551546072335,True
601101.SH,C,20260706,20260707,20260724,12.33,11.02,-0.10624493106244937,-0.10624493106244937,1.0,False
601225.SH,C,20260706,20260707,20260724,22.87,24.7,0.08001749016178383,0.08001749016178383,1.0,False
601898.SH,C,20260706,20260707,20260724,13.16,13.67,0.03875379939209722,0.03875379939209722,1.0,False
688697.SH,C,20260706,20260707,20260724,14.48,11.43,-0.21063535911602216,-0.21063535911602216,1.0,False
300857.SZ,B,20260708,20260709,20260724,292.36,230.4,-0.21193049664796826,-0.21193049664796826,1.0,False
301396.SZ,B,20260708,20260709,20260724,285.0,179.34,-0.37073684210526314,-0.37073684210526314,1.0,False
603220.SH,C,20260708,20260709,20260724,19.75,18.16,-0.08050632911392408,-0.07674808916285347,1.0040872928983284,True
603629.SH,C,20260708,20260709,20260724,123.35,108.61,-0.11949736522091603,-0.11949736522091614,1.0,False
002745.SZ,C,20260709,20260710,20260724,12.84,10.55,-0.17834890965732075,-0.17834890965732086,1.0,False
003001.SZ,B,20260709,20260710,20260724,14.21,20.39,0.43490499648135117,0.43490499648135095,1.0,False
000547.SZ,C,20260710,20260713,20260724,16.35,13.83,-0.1541284403669726,-0.1541284403669726,1.0,False
000821.SZ,C,20260710,20260713,20260724,7.28,6.83,-0.061813186813186816,-0.061813186813186816,1.0,False
000901.SZ,C,20260710,20260713,20260724,16.14,13.47,-0.16542750929368033,-0.16542750929368033,1.0,False
300255.SZ,C,20260710,20260713,20260724,25.34,25.25,-0.003551696921862635,-0.003551696921862746,1.0,False
300274.SZ,C,20260710,20260713,20260724,108.0,113.42,0.05018518518518511,0.05018518518518511,1.0,False
301590.SZ,C,20260710,20260713,20260724,128.5,99.0,-0.22957198443579763,-0.22957198443579763,1.0,False
600118.SH,C,20260710,20260713,20260724,91.26,57.78,-0.3668639053254438,-0.3667592849933622,1.000165241459082,False
603538.SH,C,20260710,20260713,20260724,33.0,26.17,-0.20696969696969691,-0.20696969696969691,1.0,False
688726.SH,C,20260710,20260713,20260724,44.04,37.32,-0.15258855585831055,-0.15258855585831055,1.0,False
002396.SZ,C,20260712,20260713,20260724,28.99,32.92,0.135563987581925,0.135563987581925,1.0,False
300655.SZ,C,20260712,20260713,20260724,16.66,12.01,-0.2791116446578632,-0.2791116446578632,1.0,False
301018.SZ,C,20260712,20260713,20260724,110.6,85.4,-0.22784810126582267,-0.22784810126582267,1.0,False
603650.SH,C,20260712,20260713,20260724,79.62,63.44,-0.20321527254458682,-0.20321527254458682,1.0,False
300454.SZ,C,20260713,20260714,20260724,105.97,100.05,-0.055864867415306274,-0.055864867415306274,1.0,False
600536.SH,C,20260713,20260714,20260724,31.5,30.56,-0.02984126984126989,-0.02984126984126989,1.0,False
688111.SH,C,20260713,20260714,20260724,222.63,226.93,0.01931455778646196,0.01931455778646196,1.0,False
000554.SZ,C,20260714,20260715,20260724,6.54,6.46,-0.012232415902140636,-0.012232415902140747,1.0,False
300164.SZ,C,20260714,20260715,20260724,10.83,11.94,0.10249307479224368,0.10249307479224368,1.0,False
600403.SH,C,20260714,20260715,20260724,5.63,5.35,-0.04973357015985791,-0.04973357015985791,1.0,False
000568.SZ,C,20260715,20260716,20260724,84.18,83.01,-0.013898788310762633,-0.013898788310762522,1.0,False
000596.SZ,C,20260715,20260716,20260724,90.62,87.52,-0.03420878393290672,0.0034377504937386227,1.0389799925701853,True
000799.SZ,C,20260715,20260716,20260724,39.76,38.04,-0.04325955734406439,-0.04325955734406439,1.0,False
300149.SZ,C,20260715,20260716,20260724,11.09,8.55,-0.22903516681695213,-0.22903516681695213,1.0,False
300759.SZ,C,20260715,20260716,20260724,38.6,38.53,-0.0018134715025907022,-0.0018134715025907022,1.0,False
301359.SZ,C,20260715,20260716,20260724,15.66,14.15,-0.09642401021711366,-0.09642401021711366,1.0,False
600199.SH,C,20260715,20260716,20260724,7.29,6.69,-0.08230452674897115,-0.08230452674897126,1.0,False
600664.SH,C,20260715,20260716,20260724,4.94,5.4,0.09311740890688247,0.09311740890688269,1.0,False
600785.SH,C,20260715,20260716,20260724,9.32,7.72,-0.1716738197424893,-0.1716738197424893,1.0,False
600857.SH,C,20260715,20260716,20260724,21.23,16.82,-0.2077249175694772,-0.2077249175694772,1.0,False
601869.SH,C,20260715,20260716,20260724,401.74,331.65,-0.1744660725842585,-0.1744660725842586,1.0,False
601888.SH,C,20260715,20260716,20260724,54.52,53.2,-0.02421129860601612,-0.02421129860601623,1.0,False
601933.SH,C,20260715,20260716,20260724,3.22,2.99,-0.0714285714285714,-0.0714285714285714,1.0,False
603369.SH,C,20260715,20260716,20260724,26.58,25.52,-0.039879608728367155,-0.039879608728367155,1.0,False
688068.SH,C,20260715,20260716,20260724,143.0,109.76,-0.23244755244755244,-0.23244755244755244,1.0,False
688166.SH,C,20260715,20260716,20260724,42.5,34.81,-0.18094117647058816,-0.18094117647058816,1.0,False
688192.SH,C,20260715,20260716,20260724,64.0,55.6,-0.13124999999999998,-0.13124999999999998,1.0,False
000676.SZ,C,20260716,20260717,20260724,6.84,6.47,-0.05409356725146197,-0.05409356725146197,1.0,False
000892.SZ,C,20260716,20260717,20260724,3.59,2.99,-0.16713091922005563,-0.16713091922005563,1.0,False
