code,trade_date,fd_share
510300.SH,20190710,929028.77
510300.SH,20190709,931548.77
510300.SH,20190708,934698.77
510300.SH,20190705,944958.77
510300.SH,20190704,948468.77
510300.SH,20190703,936769.07
510300.SH,20190702,933798.77
510300.SH,20190701,947368.77
510300.SH,20190630,946218.769
510300.SH,20190628,946218.77
510300.SH,20190627,943228.77
510300.SH,20190626,936408.77
510300.SH,20190625,935868.77
510300.SH,20190624,936048.77
510300.SH,20190621,942348.77
510300.SH,20190620,942168.77
510300.SH,20190619,936857.7
510300.SH,20190618,926328.77
510300.SH,20190617,918028.36
510300.SH,20190614,914718.77
510300.SH,20190613,928938.77
510300.SH,20190612,934518.77
510300.SH,20190611,934518.77
510300.SH,20190610,929478.77
510300.SH,20190606,930018.77
510300.SH,20190605,927318.77
510300.SH,20190604,924978.77
510300.SH,20190603,911028.77
510300.SH,20190531,904278.77
510300.SH,20190530,901938.77
510300.SH,20190529,910848.77
510300.SH,20190528,919465.6
510300.SH,20190527,932088.77
510300.SH,20190524,926238.77
510300.SH,20190523,920506.58
510300.SH,20190522,912918.77
510300.SH,20190521,921198.77
510300.SH,20190520,920478.77
510300.SH,20190517,903648.77
510300.SH,20190516,901848.77
510300.SH,20190515,911478.77
510300.SH,20190514,919359.91
510300.SH,20190513,905538.77
510300.SH,20190510,923988.77
510300.SH,20190509,909498.77
510300.SH,20190508,890868.77
510300.SH,20190507,881148.77
510300.SH,20190506,888347.94
510300.SH,20190430,882695.43
510300.SH,20190429,876108.77
510300.SH,20190426,869448.77
510300.SH,20190425,852618.77
510300.SH,20190424,847488.77
510300.SH,20190423,841548.77
510300.SH,20190422,834078.77
510300.SH,20190419,853428.77
510300.SH,20190418,856038.77
510300.SH,20190417,874938.77
510300.SH,20190416,888528.73
510300.SH,20190415,862158.77
510300.SH,20190412,890418.77
510300.SH,20190411,887718.77
510300.SH,20190410,895405.87
510300.SH,20190409,906978.77
510300.SH,20190408,910488.77
510300.SH,20190404,923624.98
510300.SH,20190403,903828.77
510300.SH,20190402,883758.78
510300.SH,20190401,878308.78
510300.SH,20190331,847938.769
510300.SH,20190329,847938.41
510300.SH,20190328,826068.77
510300.SH,20190327,835788.77
510300.SH,20190326,848658.77
510300.SH,20190325,851718.77
510300.SH,20190322,867630.43
510300.SH,20190321,867738.77
510300.SH,20190320,872427.07
510300.SH,20190319,876018.77
510300.SH,20190318,872668.77
510300.SH,20190315,864948.77
510300.SH,20190314,874275.54
510300.SH,20190313,866838.77
510300.SH,20190312,889698.77
510300.SH,20190311,903228.77
510300.SH,20190308,908868.77
510300.SH,20190307,914448.77
510300.SH,20190306,938388.77
510300.SH,20190305,949098.77
510300.SH,20190304,949908.77
510300.SH,20190301,965658.77
510300.SH,20190228,985728.75
510300.SH,20190227,992118.77
510300.SH,20190226,992477.88
510300.SH,20190225,992118.77
510300.SH,20190222,1018848.77
510300.SH,20190221,1024428.77
510300.SH,20190220,1046298.77
510300.SH,20190219,1056108.77
510300.SH,20190218,1085808.77
510300.SH,20190215,1089138.77
510300.SH,20190214,1084188.77
510300.SH,20190213,1082478.77
510300.SH,20190212,1085358.77
510300.SH,20190211,1099128.77
510300.SH,20190201,1100928.77
510300.SH,20190131,1099308.77
510300.SH,20190130,1099308.77
510300.SH,20190129,1098654.96
510300.SH,20190128,1092589.27
510300.SH,20190125,1089588.77
510300.SH,20190124,1089048.76
510300.SH,20190123,1091821.94
510300.SH,20190122,1087428.77
510300.SH,20190121,1086708.77
510300.SH,20190118,1083378.77
510300.SH,20190117,1068967.29
510300.SH,20190116,1069788.77
510300.SH,20190115,1071228.77
510300.SH,20190114,1065918.77
510300.SH,20190111,1065648.77
510300.SH,20190110,1057638.77
510300.SH,20190109,1061958.77
510300.SH,20190108,1063398.77
510300.SH,20190107,1066458.77
510300.SH,20190104,1080645.79
510300.SH,20190103,1076448.77
510300.SH,20190102,1077258.77
510300.SH,20181231,1084728.769
510300.SH,20181228,1084728.76
510300.SH,20181227,1074918.77
510300.SH,20181226,1073748.68
510300.SH,20181225,1075278.77
510300.SH,20181224,1074828.77
510300.SH,20181221,1075458.77
510300.SH,20181220,1068438.77
510300.SH,20181219,1064838.77
510300.SH,20181218,1064838.77
510300.SH,20181217,1063390.94
510300.SH,20181214,1046118.77
510300.SH,20181213,1046208.77
510300.SH,20181212,1036398.77
510300.SH,20181211,1038018.77
510300.SH,20181210,1038018.77
510300.SH,20181207,1037568.77
510300.SH,20181206,1037028.77
510300.SH,20181205,1046252.77
510300.SH,20181204,1042788.77
510300.SH,20181203,1042941.26
510300.SH,20181130,1032258.77
510300.SH,20181129,1022358.77
510300.SH,20181128,1023078.77
510300.SH,20181127,1026408.77
510300.SH,20181126,1038918.77
510300.SH,20181123,1054398.77
510300.SH,20181122,1057188.77
510300.SH,20181121,1069428.77
510300.SH,20181120,1072398.77
510300.SH,20181119,1076088.77
510300.SH,20181116,1088868.77
510300.SH,20181115,1089948.77
510300.SH,20181114,1087968.77
510300.SH,20181113,1094988.77
510300.SH,20181112,1099128.77
510300.SH,20181109,1092828.77
510300.SH,20181108,1090938.77
510300.SH,20181107,1095078.74
510300.SH,20181106,1095348.77
510300.SH,20181105,1094988.77
510300.SH,20181102,1083828.77
510300.SH,20181101,1063938.77
510300.SH,20181031,1075278.77
510300.SH,20181030,1076448.77
510300.SH,20181029,1057548.76
510300.SH,20181026,1048008.77
510300.SH,20181025,1045668.77
510300.SH,20181024,1047896.95
510300.SH,20181023,1027472.95
510300.SH,20181022,980958.77
510300.SH,20181019,961968.77
510300.SH,20181018,935418.77
510300.SH,20181017,906168.77
510300.SH,20181016,861668.77
510300.SH,20181015,831648.77
510300.SH,20181012,827033.6
510300.SH,20181011,812657.78
510300.SH,20181010,794478.77
510300.SH,20181009,788988.77
510300.SH,20181008,794147.29
510300.SH,20180930,791238.769
510300.SH,20180928,791208.77
510300.SH,20180927,790098.77
510300.SH,20180926,786468.77
510300.SH,20180925,786918.77
510300.SH,20180921,786108.77
510300.SH,20180920,769728.77
510300.SH,20180919,759558.77
510300.SH,20180918,750648.77
510300.SH,20180917,746688.77
510300.SH,20180914,747678.77
510300.SH,20180913,752238.77
510300.SH,20180912,742818.77
510300.SH,20180911,734268.77
510300.SH,20180910,719444.8
510300.SH,20180907,716088.77
510300.SH,20180906,715458.77
510300.SH,20180905,704298.77
510300.SH,20180904,706398.77
510300.SH,20180903,702313.71
510300.SH,20180831,701148.77
510300.SH,20180830,699618.77
510300.SH,20180829,702588.77
510300.SH,20180828,702588.77
510300.SH,20180827,699168.77
510300.SH,20180824,694398.77
510300.SH,20180823,692418.77
510300.SH,20180822,680088.77
510300.SH,20180821,682518.77
510300.SH,20180820,684828.77
510300.SH,20180817,677478.77
510300.SH,20180816,676128.77
510300.SH,20180815,668208.77
510300.SH,20180814,668478.77
510300.SH,20180813,669288.77
510300.SH,20180810,665238.77
510300.SH,20180809,668118.77
510300.SH,20180808,659928.77
510300.SH,20180807,665058.77
510300.SH,20180806,663070.91
510300.SH,20180803,655788.77
510300.SH,20180802,657498.77
510300.SH,20180801,662178.77
510300.SH,20180731,669828.77
510300.SH,20180730,669517.37
510300.SH,20180727,668748.77
510300.SH,20180726,667848.77
510300.SH,20180725,667500.0
510300.SH,20180724,667900.0
510300.SH,20180723,665100.0
510300.SH,20180720,666900.0
510300.SH,20180719,665800.0
510300.SH,20180718,663900.0
510300.SH,20180717,664900.0
510300.SH,20180716,663300.0
510300.SH,20180713,663900.0
510300.SH,20180712,664500.0
510300.SH,20180711,658800.0
510300.SH,20180710,658600.0
510300.SH,20180709,659200.0
510300.SH,20180706,660100.0
510300.SH,20180705,653000.0
510300.SH,20180704,651800.0
510300.SH,20180703,654100.0
510300.SH,20180702,630300.0
510300.SH,20180630,632478.769
510300.SH,20180629,632500.0
510300.SH,20180628,632000.0
510300.SH,20180627,631700.0
510300.SH,20180626,629900.0
510300.SH,20180625,620100.0
510300.SH,20180622,621200.0
510300.SH,20180621,613300.0
510300.SH,20180620,601500.0
510300.SH,20180619,591500.0
510300.SH,20180615,570900.0
510300.SH,20180614,566400.0
510300.SH,20180613,563700.0
510300.SH,20180612,563800.0
510300.SH,20180611,560900.0
510300.SH,20180608,559700.0
510300.SH,20180607,562500.0
510300.SH,20180606,564200.0
510300.SH,20180605,566000.0
510300.SH,20180604,567100.0
510300.SH,20180601,565700.0
510300.SH,20180531,568100.0
510300.SH,20180530,571600.0
510300.SH,20180529,571700.0
510300.SH,20180528,575200.0
510300.SH,20180525,576300.0
510300.SH,20180524,577900.0
510300.SH,20180523,579700.0
510300.SH,20180522,581000.0
510300.SH,20180521,581100.0
510300.SH,20180518,581600.0
510300.SH,20180517,584700.0
510300.SH,20180516,584400.0
510300.SH,20180515,585900.0
510300.SH,20180514,591000.0
510300.SH,20180511,593600.0
510300.SH,20180510,593600.0
510300.SH,20180509,593100.0
510300.SH,20180508,592700.0
510300.SH,20180507,592200.0
510300.SH,20180504,590600.0
510300.SH,20180503,592400.0
510300.SH,20180502,588500.0
510300.SH,20180427,588400.0
510300.SH,20180426,585500.0
510300.SH,20180425,584400.0
510300.SH,20180424,583100.0
510300.SH,20180423,580100.0
510300.SH,20180420,578700.0
510300.SH,20180419,583100.0
510300.SH,20180418,585000.0
510300.SH,20180417,577800.0
510300.SH,20180416,572900.0
510300.SH,20180413,573700.0
510300.SH,20180412,578300.0
510300.SH,20180411,577500.0
510300.SH,20180410,576400.0
510300.SH,20180409,575300.0
510300.SH,20180404,571800.0
510300.SH,20180403,574300.0
