trade_date,score
20190125,25.6
20190128,38.9
20190129,51.3
20190130,58.9
20190131,62.6
20190201,27.0
20190211,17.6
20190212,12.8
20190213,6.1
20190214,6.5
20190215,11.2
20190218,6.8
20190219,7.8
20190220,7.7
20190221,8.3
20190222,4.7
20190225,12.1
20190226,12.0
20190227,13.2
20190228,16.3
20190301,12.8
20190304,12.6
20190305,12.5
20190306,11.8
20190307,12.7
20190308,38.0
20190311,17.6
20190312,17.6
20190313,25.3
20190314,38.1
20190315,17.2
20190318,16.4
20190319,16.5
20190320,16.5
20190321,16.4
20190322,15.9
20190325,9.8
20190326,27.8
20190327,19.9
20190328,34.1
20190329,19.1
20190401,13.6
20190402,13.6
20190403,13.8
20190404,13.5
20190408,8.7
20190409,8.1
20190410,8.1
20190411,14.7
20190412,19.8
20190415,20.1
20190416,13.3
20190417,10.4
20190418,14.3
20190419,12.6
20190422,20.6
20190423,37.9
20190424,23.6
20190425,52.2
20190426,46.3
20190429,51.6
20190430,37.5
20190506,62.5
20190507,39.4
20190508,43.4
20190509,49.9
20190510,43.0
20190513,45.0
20190514,45.7
20190515,44.1
20190516,42.7
20190517,54.7
20190520,58.3
20190521,45.2
20190522,45.6
20190523,61.0
20190524,58.9
20190527,42.1
20190528,39.2
20190529,36.5
20190530,43.2
20190531,38.9
20190603,46.8
20190604,53.5
20190605,41.0
20190606,63.0
20190610,36.7
20190611,25.2
20190612,27.3
20190613,22.9
20190614,41.4
20190617,29.5
20190618,28.2
20190619,20.6
20190620,14.1
20190621,9.9
20190624,9.9
20190625,16.4
20190626,18.7
20190627,10.8
20190628,22.0
20190701,10.0
20190702,11.4
20190703,12.7
20190704,18.2
20190705,14.3
20190708,45.0
20190709,32.0
20190710,34.6
20190711,33.5
20190712,31.9
20190715,28.9
20190716,28.6
20190717,28.7
20190718,33.8
20190719,29.9
20190722,52.0
20190723,34.5
20190724,28.2
20190725,26.7
20190726,26.2
20190729,25.3
20190730,21.3
20190731,25.2
20190801,28.2
20190802,38.1
20190805,44.0
20190806,59.8
20190807,53.5
20190808,42.0
20190809,50.7
20190812,34.6
20190813,41.3
20190814,35.2
20190815,36.5
20190816,32.7
20190819,20.8
20190820,20.1
20190821,19.3
20190822,16.8
20190823,17.3
20190826,24.9
20190827,14.7
20190828,15.4
20190829,15.5
20190830,25.9
20190902,11.3
20190903,10.8
20190904,10.1
20190905,9.1
20190906,8.6
20190909,7.2
20190910,8.6
20190911,9.8
20190912,9.0
20190916,8.9
20190917,12.7
20190918,12.4
20190919,9.7
20190920,9.3
20190923,17.0
20190924,16.7
20190925,33.4
20190926,54.4
20190927,32.3
20190930,47.5
20191008,37.5
20191009,31.3
20191010,27.0
20191011,24.7
20191014,18.4
20191015,32.4
20191016,26.7
20191017,24.7
20191018,30.7
20191021,39.7
20191022,24.9
20191023,27.9
20191024,31.2
20191025,22.1
20191028,12.5
20191029,24.7
20191030,41.1
20191031,49.8
20191101,24.1
20191104,23.4
20191105,24.2
20191106,28.6
20191107,23.6
20191108,26.2
20191111,46.7
20191112,34.7
20191113,39.0
20191114,31.1
20191115,48.4
20191118,31.2
20191119,22.5
20191120,26.5
20191121,27.2
20191122,36.6
20191125,38.1
20191126,32.8
20191127,31.1
20191128,35.2
20191129,30.7
20191202,29.8
20191203,24.9
20191204,23.4
20191205,15.8
20191206,11.9
20191209,11.4
20191210,10.5
20191211,14.0
20191212,16.5
20191213,9.0
20191216,7.1
20191217,6.2
20191218,6.9
20191219,7.2
20191220,8.2
20191223,25.3
20191224,8.1
20191225,8.2
20191226,6.6
20191227,8.2
20191230,6.1
20191231,5.8
20200102,4.7
20200103,4.9
20200106,2.8
20200107,2.2
20200108,5.4
20200109,2.8
20200110,3.9
20200113,1.6
20200114,3.3
20200115,4.6
20200116,6.0
20200117,10.9
20200120,5.1
20200121,17.1
20200122,18.6
20200123,48.4
20200203,90.3
20200204,70.0
20200205,51.3
20200206,47.6
20200207,47.2
20200210,46.3
20200211,54.9
20200212,43.8
20200213,45.9
20200214,44.9
20200217,34.7
20200218,29.4
20200219,31.6
20200220,24.8
20200221,24.0
20200224,24.1
20200225,24.4
20200226,41.5
20200227,29.3
20200228,66.8
20200302,19.7
20200303,16.4
20200304,14.6
20200305,12.6
20200306,15.8
20200309,41.5
20200310,25.5
20200311,30.2
20200312,41.7
20200313,47.5
20200316,78.4
20200317,59.0
20200318,64.4
20200319,62.3
20200320,54.9
20200323,88.1
20200324,58.8
20200325,54.2
20200326,58.4
20200327,57.4
20200330,69.7
20200331,57.4
20200401,63.0
20200402,51.0
20200403,51.4
20200407,39.6
20200408,35.7
20200409,30.5
20200410,50.0
20200413,48.2
20200414,29.0
20200415,33.5
20200416,31.4
20200417,29.7
20200420,25.5
20200421,27.4
20200422,21.2
20200423,21.3
20200424,42.8
20200427,40.2
20200428,52.7
20200429,38.9
20200430,25.8
20200506,21.2
20200507,22.6
20200508,18.2
20200511,18.3
20200512,19.1
20200513,17.5
20200514,22.5
20200515,22.0
20200518,25.3
20200519,18.7
20200520,24.5
20200521,28.3
20200522,41.9
20200525,40.3
20200526,24.3
20200527,26.5
20200528,27.9
20200529,24.9
20200601,13.9
20200602,12.5
20200603,13.0
20200604,12.6
20200605,14.6
20200608,18.1
20200609,11.5
20200610,13.7
20200611,18.3
20200612,19.5
20200615,22.3
20200616,14.3
20200617,14.3
20200618,18.4
20200619,10.4
20200622,12.2
20200623,14.7
20200624,16.7
20200629,22.3
20200630,14.5
20200701,12.1
20200702,4.5
20200703,3.1
20200706,8.5
20200707,8.5
20200708,8.6
20200709,8.6
20200710,10.3
20200713,9.6
20200714,10.4
20200715,25.7
20200716,46.9
20200717,32.9
20200720,20.1
20200721,20.2
20200722,20.3
20200723,22.3
20200724,56.2
20200727,46.5
20200728,35.7
20200729,30.4
20200730,31.1
20200731,29.5
20200803,18.3
20200804,21.2
20200805,18.1
20200806,19.2
20200807,25.7
20200810,20.0
20200811,30.4
20200812,33.4
20200813,20.4
20200814,24.4
20200817,10.8
20200818,9.3
20200819,18.9
20200820,26.8
20200821,12.9
20200824,12.8
20200825,14.1
20200826,30.7
20200827,19.9
20200828,19.5
20200831,14.6
20200901,13.6
20200902,11.7
20200903,20.5
20200904,16.9
20200907,22.7
20200908,15.7
20200909,44.4
20200910,53.7
20200911,30.0
20200914,23.8
20200915,24.1
20200916,24.8
20200917,24.0
20200918,21.2
20200921,22.0
20200922,28.7
20200923,25.9
20200924,48.0
20200925,43.0
20200928,49.6
20200929,36.6
20200930,32.2
20201009,23.1
20201012,12.4
20201013,10.5
20201014,13.8
20201015,21.0
20201016,15.5
20201019,20.5
20201020,14.2
20201021,21.7
20201022,24.0
20201023,36.5
20201026,25.3
20201027,28.0
20201028,26.9
20201029,30.4
20201030,53.8
20201102,35.3
20201103,22.1
20201104,24.6
20201105,16.9
20201106,26.6
20201109,10.0
20201110,19.7
20201111,23.4
20201112,16.4
20201113,23.8
20201116,12.6
20201117,18.9
20201118,12.8
20201119,11.9
20201120,9.5
20201123,7.5
20201124,9.2
20201125,22.7
20201126,24.5
20201127,18.6
20201130,19.3
20201201,12.3
20201202,12.3
20201203,15.4
20201204,15.1
20201207,20.1
20201208,22.3
20201209,32.1
20201210,34.4
20201211,47.6
20201214,33.0
20201215,33.8
20201216,43.6
20201217,27.1
20201218,29.7
20201221,23.4
20201222,41.6
20201223,32.5
20201224,52.2
20201225,29.1
20201228,41.3
20201229,40.2
20201230,27.8
20201231,19.7
20210104,16.1
20210105,17.9
20210106,24.1
20210107,43.6
20210108,31.0
20210111,48.5
20210112,30.5
20210113,43.8
20210114,35.0
20210115,25.0
20210118,21.8
20210119,21.8
20210120,20.0
20210121,18.1
20210122,26.4
20210125,35.2
20210126,42.7
20210127,32.2
20210128,49.0
20210129,58.9
20210201,43.8
20210202,38.9
20210203,49.3
20210204,52.7
20210205,59.1
20210208,46.4
20210209,27.5
20210210,28.9
20210218,21.1
20210219,12.7
20210222,12.6
20210223,13.8
20210224,20.2
20210225,16.7
20210226,20.9
20210301,16.9
20210302,20.2
20210303,16.9
20210304,25.3
20210305,21.4
20210308,34.1
20210309,51.0
20210310,46.3
20210311,34.8
20210312,36.4
20210315,43.5
20210316,34.0
20210317,31.2
20210318,31.4
20210319,35.8
20210322,28.8
20210323,42.0
20210324,42.4
20210325,45.3
20210326,33.7
20210329,33.0
20210330,36.8
20210331,34.6
20210401,31.3
20210402,29.6
20210406,22.5
20210407,19.8
20210408,27.2
20210409,24.4
20210412,36.7
20210413,40.8
20210414,29.3
20210415,37.4
20210416,23.3
20210419,17.2
20210420,19.7
20210421,24.1
20210422,18.7
