code,trade_date,close
510300.SH,20200706,4.784
510300.SH,20200703,4.457
510300.SH,20200702,4.37
510300.SH,20200701,4.272
510300.SH,20200630,4.178
510300.SH,20200629,4.128
510300.SH,20200624,4.164
510300.SH,20200623,4.128
510300.SH,20200622,4.109
510300.SH,20200619,4.105
510300.SH,20200618,4.053
510300.SH,20200617,4.022
510300.SH,20200616,4.018
510300.SH,20200615,3.956
510300.SH,20200612,4.013
510300.SH,20200611,4.003
510300.SH,20200610,4.04
510300.SH,20200609,4.049
510300.SH,20200608,4.022
510300.SH,20200605,4.003
510300.SH,20200604,3.98
510300.SH,20200603,3.978
510300.SH,20200602,3.979
510300.SH,20200601,3.968
510300.SH,20200529,3.866
510300.SH,20200528,3.85
510300.SH,20200527,3.845
510300.SH,20200526,3.863
510300.SH,20200525,3.817
510300.SH,20200522,3.815
510300.SH,20200521,3.901
510300.SH,20200520,3.927
510300.SH,20200519,3.943
510300.SH,20200518,3.914
510300.SH,20200515,3.902
510300.SH,20200514,3.921
510300.SH,20200513,3.954
510300.SH,20200512,3.945
510300.SH,20200511,3.946
510300.SH,20200508,3.953
510300.SH,20200507,3.911
510300.SH,20200506,3.918
510300.SH,20200430,3.908
510300.SH,20200429,3.851
510300.SH,20200428,3.831
510300.SH,20200427,3.807
510300.SH,20200424,3.79
510300.SH,20200423,3.822
510300.SH,20200422,3.829
510300.SH,20200421,3.795
510300.SH,20200420,3.835
510300.SH,20200417,3.819
510300.SH,20200416,3.785
510300.SH,20200415,3.783
510300.SH,20200414,3.805
510300.SH,20200413,3.743
510300.SH,20200410,3.764
510300.SH,20200409,3.776
510300.SH,20200408,3.765
510300.SH,20200407,3.78
510300.SH,20200403,3.697
510300.SH,20200402,3.723
510300.SH,20200401,3.673
510300.SH,20200331,3.669
510300.SH,20200330,3.666
510300.SH,20200327,3.7
510300.SH,20200326,3.683
510300.SH,20200325,3.706
510300.SH,20200324,3.611
510300.SH,20200323,3.526
510300.SH,20200320,3.644
510300.SH,20200319,3.596
510300.SH,20200318,3.631
510300.SH,20200317,3.693
510300.SH,20200316,3.726
510300.SH,20200313,3.889
510300.SH,20200312,3.948
510300.SH,20200311,4.011
510300.SH,20200310,4.078
510300.SH,20200309,3.99
510300.SH,20200306,4.121
510300.SH,20200305,4.2
510300.SH,20200304,4.102
510300.SH,20200303,4.073
510300.SH,20200302,4.076
510300.SH,20200228,3.933
510300.SH,20200227,4.071
510300.SH,20200226,4.07
510300.SH,20200225,4.104
510300.SH,20200224,4.112
510300.SH,20200221,4.145
510300.SH,20200220,4.131
510300.SH,20200219,4.04
510300.SH,20200218,4.039
510300.SH,20200217,4.064
510300.SH,20200214,3.977
510300.SH,20200213,3.95
510300.SH,20200212,3.971
510300.SH,20200211,3.943
510300.SH,20200210,3.901
510300.SH,20200207,3.888
510300.SH,20200206,3.897
510300.SH,20200205,3.807
510300.SH,20200204,3.77
510300.SH,20200203,3.659
510300.SH,20200123,3.996
510300.SH,20200122,4.119
510300.SH,20200121,4.105
510300.SH,20200120,4.181
510300.SH,20200117,4.151
510300.SH,20200116,4.146
510300.SH,20200115,4.152
510300.SH,20200114,4.184
510300.SH,20200113,4.202
510300.SH,20200110,4.157
510300.SH,20200109,4.158
510300.SH,20200108,4.114
510300.SH,20200107,4.155
510300.SH,20200106,4.123
510300.SH,20200103,4.139
510300.SH,20200102,4.149
510300.SH,20191231,4.096
510300.SH,20191230,4.075
510300.SH,20191227,4.017
510300.SH,20191226,4.021
510300.SH,20191225,3.992
510300.SH,20191224,3.985
510300.SH,20191223,3.964
510300.SH,20191220,4.016
510300.SH,20191219,4.02
510300.SH,20191218,4.027
510300.SH,20191217,4.042
510300.SH,20191216,3.98
510300.SH,20191213,3.968
510300.SH,20191212,3.889
510300.SH,20191211,3.9
510300.SH,20191210,3.956
510300.SH,20191209,3.953
510300.SH,20191206,3.966
510300.SH,20191205,3.942
510300.SH,20191204,3.913
510300.SH,20191203,3.911
510300.SH,20191202,3.895
510300.SH,20191129,3.887
510300.SH,20191128,3.93
510300.SH,20191127,3.936
510300.SH,20191126,3.942
510300.SH,20191125,3.936
510300.SH,20191122,3.908
510300.SH,20191121,3.95
510300.SH,20191120,3.97
510300.SH,20191119,4.011
